State_Fips,County_Fips,State,County,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019
20,57,Kansas,Ford County,34008,34372,34665,34879,34930,34629,34552,34218,33877,33619
20,59,Kansas,Franklin County,25985,25856,25825,25734,25531,25469,25523,25631,25625,25544
20,61,Kansas,Geary County,35243,35294,37903,36797,36446,36681,35223,33774,32777,31670
20,63,Kansas,Gove County,2692,2726,2759,2794,2748,2698,2622,2622,2611,2636
20,65,Kansas,Graham County,2602,2635,2581,2588,2557,2591,2562,2485,2475,2482
20,67,Kansas,Grant County,7825,7896,7832,7846,7787,7724,7675,7490,7294,7150
20,69,Kansas,Gray County,6026,6086,5963,5980,6062,6082,6031,6018,6076,5988
20,71,Kansas,Greeley County,1259,1255,1268,1283,1302,1302,1277,1226,1229,1232
20,73,Kansas,Greenwood County,6680,6611,6426,6358,6288,6233,6112,6067,6011,5982
20,75,Kansas,Hamilton County,2707,2637,2651,2620,2659,2568,2634,2616,2600,2539
20,77,Kansas,Harper County,6008,5937,5862,5842,5829,5781,5667,5580,5508,5436
20,79,Kansas,Harvey County,34740,34691,34754,34715,34597,34802,34726,34373,34183,34429
20,81,Kansas,Haskell County,4273,4235,4215,4126,4101,4089,4026,4019,3990,3968
20,83,Kansas,Hodgeman County,1920,1957,1927,1924,1883,1869,1851,1863,1822,1794
20,85,Kansas,Jackson County,13462,13427,13401,13310,13437,13285,13270,13332,13270,13171
20,87,Kansas,Jefferson County,19121,18942,18861,18773,18805,18794,18824,18932,18856,19043
20,89,Kansas,Jewell County,3063,3091,3054,3060,3043,2963,2880,2857,2845,2879
20,91,Kansas,Johnson County,545655,552907,559428,566351,572940,579684,586015,591305,598127,602401
20,93,Kansas,Kearny County,4002,3958,3971,3912,3938,3929,3890,3935,3941,3838
20,95,Kansas,Kingman County,7857,7891,7825,7801,7683,7636,7417,7275,7220,7152
20,97,Kansas,Kiowa County,2569,2558,2513,2534,2532,2570,2507,2486,2489,2475
20,99,Kansas,Labette County,21537,21377,21163,20871,20773,20628,20313,20129,19906,19618
20,101,Kansas,Lane County,1736,1743,1684,1698,1666,1630,1593,1548,1546,1535
20,103,Kansas,Leavenworth County,76520,77075,77644,78082,78554,79119,80244,81109,81497,81758
